hour,forecast,adjusted,flagged,price_ch,price_de_lu,price_at,expert_id,forecast_date,timestamp
0,32.86,100.0,False,117.57,57.4725,81.175,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
1,23.75,200.0,True,113.78,53.89,80.2875,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
2,28.79,28.79,False,113.07,57.4175,79.575,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
3,29.7,29.7,False,116.14,73.005,86.46,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
4,28.78,28.78,True,124.31,85.6025,108.44,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
5,47.24,47.24,False,138.94,101.9875,128.975,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
6,72.06,72.06,False,148.26,128.65,149.7025,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
7,94.31,94.31,False,146.84,137.475,155.8875,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
8,87.62,87.62,False,144.05,129.88,137.7575,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
9,91.2,91.2,False,143.06,121.5675,131.53,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
10,89.95,89.95,False,136.54,117.0975,126.2925,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
11,92.93,92.93,False,129.53,114.39,123.97,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
12,89.86,89.86,False,127.49,113.7,125.55,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
13,92.32,92.32,False,131.66,124.845,135.2525,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
14,69.0,69.0,False,139.7,139.8725,145.14,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
15,89.71,89.71,False,148.72,146.08,151.345,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
16,75.95,75.95,False,149.5,145.825,157.9325,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
17,110.39,110.39,True,148.61,134.6975,155.3575,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
18,111.34,111.34,True,147.22,121.1575,144.6,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
19,84.51,84.51,False,144.98,110.04,133.1,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
20,62.52,62.52,False,139.82,92.7675,119.995,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
21,50.94,50.94,False,137.36,85.8,114.35,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
22,52.27,52.27,False,130.0,72.575,108.0,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
23,70.27,70.27,False,121.76,78.24,106.2,expert_1,2025-01-29,2026-07-28T20:54:01.416965+00:00
0,32.86,32.86,False,117.57,57.4725,81.175,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
1,23.75,23.75,True,113.78,53.89,80.2875,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
2,28.79,28.79,False,113.07,57.4175,79.575,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
3,29.7,100.0,False,116.14,73.005,86.46,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
4,28.78,200.0,True,124.31,85.6025,108.44,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
5,47.24,47.24,False,138.94,101.9875,128.975,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
6,72.06,72.06,False,148.26,128.65,149.7025,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
7,94.31,94.31,False,146.84,137.475,155.8875,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
8,87.62,87.62,False,144.05,129.88,137.7575,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
9,91.2,91.2,False,143.06,121.5675,131.53,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
10,89.95,89.95,False,136.54,117.0975,126.2925,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
11,92.93,92.93,False,129.53,114.39,123.97,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
12,89.86,89.86,False,127.49,113.7,125.55,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
13,92.32,92.32,False,131.66,124.845,135.2525,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
14,69.0,69.0,False,139.7,139.8725,145.14,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
15,89.71,89.71,False,148.72,146.08,151.345,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
16,75.95,75.95,False,149.5,145.825,157.9325,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
17,110.39,110.39,True,148.61,134.6975,155.3575,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
18,111.34,111.34,True,147.22,121.1575,144.6,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
19,84.51,84.51,False,144.98,110.04,133.1,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
20,62.52,62.52,False,139.82,92.7675,119.995,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
21,50.94,50.94,False,137.36,85.8,114.35,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
22,52.27,52.27,False,130.0,72.575,108.0,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
23,70.27,70.27,False,121.76,78.24,106.2,expert_2,2025-01-29,2026-07-28T20:55:06.495848+00:00
